project_scope,language,source_layer,code_family,code,label_en,keyword,keyword_translation_or_note,current_pipeline_status,reviewer,review_decision,suggested_replacement,notes
cross_language_tourism_side_project,English,Google reviews,friction,waiting_crowding,Waiting / Crowding,queuing,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,waiting_crowding,Waiting / Crowding,long line,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,waiting_crowding,Waiting / Crowding,wait for a long,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,waiting_crowding,Waiting / Crowding,wait for hours,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,waiting_crowding,Waiting / Crowding,had to wait,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,waiting_crowding,Waiting / Crowding,crowded,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,waiting_crowding,Waiting / Crowding,too crowded,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,waiting_crowding,Waiting / Crowding,very crowded,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,waiting_crowding,Waiting / Crowding,extremely crowded,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,waiting_crowding,Waiting / Crowding,overcrowded,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,waiting_crowding,Waiting / Crowding,gets very crowded,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,waiting_crowding,Waiting / Crowding,gets crowded,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,waiting_crowding,Waiting / Crowding,quite crowded,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,waiting_crowding,Waiting / Crowding,always crowded,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,waiting_crowding,Waiting / Crowding,too many people,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,waiting_crowding,Waiting / Crowding,packed,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,waiting_crowding,Waiting / Crowding,shoulder to shoulder,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,waiting_crowding,Waiting / Crowding,overtourism,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,waiting_crowding,Waiting / Crowding,congestion,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,waiting_crowding,Waiting / Crowding,impossible to move,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,waiting_crowding,Waiting / Crowding,busy && too,Existing English codebook keyword,currently_used_for_english_friction,,,,
cross_language_tourism_side_project,English,Google reviews,friction,waiting_crowding,Waiting / Crowding,busy && very,Existing English codebook keyword,currently_used_for_english_friction,,,,
