source_sheet,source_row_id,project_scope,language,source_layer,code_family,code,label_en,label_cn,keyword_original,keyword_translation_or_note,current_pipeline_status,reviewer,review_decision,keyword_final,notes,reviewed_at
Chinese,75,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,price_value,Price / Value,價格/性價比,坑,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,坑,,2026-06-18
Chinese,76,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,cleanliness_comfort,Cleanliness / Comfort,清潔度/舒適度,脏,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,脏,,2026-06-18
Chinese,77,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,cleanliness_comfort,Cleanliness / Comfort,清潔度/舒適度,不干净,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,不干净,,2026-06-18
Chinese,78,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,cleanliness_comfort,Cleanliness / Comfort,清潔度/舒適度,卫生差,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,卫生差,,2026-06-18
Chinese,79,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,cleanliness_comfort,Cleanliness / Comfort,清潔度/舒適度,厕所,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,厕所,,2026-06-18
Chinese,80,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,cleanliness_comfort,Cleanliness / Comfort,清潔度/舒適度,味道大,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,味道大,,2026-06-18
Chinese,81,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,cleanliness_comfort,Cleanliness / Comfort,清潔度/舒適度,太热,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,太热,,2026-06-18
Chinese,82,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,cleanliness_comfort,Cleanliness / Comfort,清潔度/舒適度,太冷,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,太冷,,2026-06-18
Chinese,83,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,cleanliness_comfort,Cleanliness / Comfort,清潔度/舒適度,休息,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,休息,,2026-06-18
Chinese,84,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,cleanliness_comfort,Cleanliness / Comfort,清潔度/舒適度,座位少,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,座位少,,2026-06-18
Chinese,85,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,cleanliness_comfort,Cleanliness / Comfort,清潔度/舒適度,设施旧,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,设施旧,,2026-06-18
Chinese,86,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,cleanliness_comfort,Cleanliness / Comfort,清潔度/舒適度,老旧,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,老旧,,2026-06-18
Chinese,87,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,opening_hours_availability,Opening Hours / Availability,開放時間/可用性,关门,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,关门,,2026-06-18
Chinese,88,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,opening_hours_availability,Opening Hours / Availability,開放時間/可用性,没开,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,没开,,2026-06-18
Chinese,89,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,opening_hours_availability,Opening Hours / Availability,開放時間/可用性,休息日,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,休息日,,2026-06-18
Chinese,90,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,opening_hours_availability,Opening Hours / Availability,開放時間/可用性,闭馆,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,闭馆,,2026-06-18
Chinese,91,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,opening_hours_availability,Opening Hours / Availability,開放時間/可用性,营业时间,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,FIX,对营业时间不满,,2026-06-18
